name,ra,decl,spt,sptnum,plx,plx_err,pmra,pmdec,pmtot,radvel,radvel_err,GAIA_G,GAIA_Ge,GAIA_B,GAIA_Be,GAIA_R,GAIA_Re,2MASS_J,2MASS_Je,2MASS_H,2MASS_He,2MASS_KS,2MASS_KSe,SDSS_G,SDSS_R,SDSS_I,SDSS_Z,PANSTARRS_Ge,PANSTARRS_Re,PANSTARRS_Ie,PANSTARRS_Ze,PANSTARRS_Y,PANSTARRS_Ye,WISE_W1,WISE_W1e,WISE_W2,WISE_W2e,WISE_W3,WISE_W3e,WISE_W4,WISE_W4e,MKO_Y,MKO_Ye,MKO_J,MKO_Je,MKO_H,MKO_He,MKO_K,MKO_Ke,PANSTARRS_G,PANSTARRS_R,PANSTARRS_I,PANSTARRS_Z,PANSTARRS_Y
ULAS J162655.04+252446.8,246.7294,25.4131,T5,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.78,0.12,,,,,,,,,19.818,0.11,18.4,0.04,18.62,0.04,,,,,,,20.14600069
CFHT-IC 348-29,56.3235,32.1321,L0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,20.76,0.17,15.601,0.056,15.09,0.101,11.826,,8.482,,19.947,0.181,18.287,0.063,17.267,0.033,16.414,0.032,,,,21.43999954,20.12600023
ULAS J015024.37+135924.0,27.6017,13.9899,T7.5,27.5,26.4,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,20.75,0.11,17.505,0.165,15.235,0.088,12,,9.246,,18.809,0.056,17.73,0.02,18.11,0.02,17.848,0.156,,,,,20.116
ULAS J225624.82+062152.9,344.1013,6.3642,T3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,20.72,0.09,,,,,,,,,19.444,0.098,18.139,0.051,17.928,0.079,17.646,0.1,,,,21.47000023,20.08599931
WISE J195500.42-254013.9,298.7518,-25.6704,T8,28,27.3,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,20.71,0.12,17.986,0.305,14.963,0.089,11.86,,8.675,,,,17.58,0.02,18,0.05,,,,,,,20.07599908
ULAS J230601.02+130225.0,346.5043,13.0404,T6.5,26.5,27.9,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,20.67,0.11,17.496,0.179,15.14,0.081,12.628,,8.557,,18.96,0.03,17.57,0.02,18,0.02,18.03,0.03,,,,,20.03600008
CFHT-Hy-21,67.3452,15.5915,T1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,20.66,0.1,15.28,0.041,14.83,0.1,11.691,,8.269,,,,,,,,16.434,0.028,,,,21.38000008,20.02599985
ULAS J232802.03+134544.8,352.0089,13.7624,T7,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.66,0.09,17.506,0.184,15.204,0.096,12.244,,8.993,,19.01,0.02,17.75,0.02,18.17,0.02,18.29,0.02,,,,,20.02599985
CFBDS J151803.64+071645.9,229.5158,7.2814,T2.5,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,20.64,0.07,,,,,,,,,19.289,0.099,18.348,0.058,17.975,0.09,17.617,0.143,,,,21.51999947,20.00599939
ULAS J120948.38+035338.4,182.4516,3.8941,T4.8,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,20.63,0.09,,,,,,,,,19.245,0.072,17.914,0.038,18.067,0.109,,,,,,21.63000008,19.99599916
ULAS J112059.41+121904.5,170.2476,12.3179,T5.5,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.59,0.08,17.877,0.255,15.887,0.166,12.37,,8.774,,19.201,0.069,17.928,0.035,18.003,0.052,17.937,0.116,,,,,19.95600015
ULAS J013017.79+080453.9,22.5742,8.0814,T6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.58,0.18,17.661,0.217,16.194,0.23,12.043,,8.744,,19.06,0.03,17.93,0.02,18.21,0.02,18.35,0.04,,,,,19.94599992
ULAS J013117.53-003128.6,22.8232,-0.5247,T3,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.58,0.12,17.484,0.154,17.068,0.444,12.731,,9.152,,19.997,0.217,18.6,0.04,18.48,0.04,18.41,0.04,,,,,19.94599992
ULAS J130154.79+064747.9,195.4781,6.797,T6.0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,20.58,0.07,,,,,,,,,18.969,0.072,17.792,0.042,18.171,0.088,18.531,0.261,,,,21.18999954,19.94599992
