name,ra,decl,spt,sptnum,plx,plx_err,pmra,pmdec,pmtot,radvel,radvel_err,GAIA_G,GAIA_Ge,GAIA_B,GAIA_Be,GAIA_R,GAIA_Re,2MASS_J,2MASS_Je,2MASS_H,2MASS_He,2MASS_KS,2MASS_KSe,SDSS_G,SDSS_R,SDSS_I,SDSS_Z,PANSTARRS_Ge,PANSTARRS_Re,PANSTARRS_Ie,PANSTARRS_Ze,PANSTARRS_Y,PANSTARRS_Ye,WISE_W1,WISE_W1e,WISE_W2,WISE_W2e,WISE_W3,WISE_W3e,WISE_W4,WISE_W4e,MKO_Y,MKO_Ye,MKO_J,MKO_Je,MKO_H,MKO_He,MKO_K,MKO_Ke,PANSTARRS_G,PANSTARRS_R,PANSTARRS_I,PANSTARRS_Z,PANSTARRS_Y
2MASSI J0028394+150141,7.1643,15.0282,L3,14.5,,,194.7,-18.9,195.6151835,,,,,,,,,16.507,0.109,15.256,0.074,14.556,0.074,,,,,,,0.06,0.02,18.96,0.02,13.894,0.027,13.526,0.038,11.928,,8.571,,18.017,0.038,16.554,0.019,15.447,0.015,14.6,0.011,,,21.25000084,19.47000023,18.32599908
PSO J043.5395+02.3995,43.5398,2.3996,T8,28,6.84,0.07,2557.3,238.3,2568.378901,,,,,,,,,,,,,,,,,,,,,,0.03,18.96,0.05,15.807,0.048,12.758,0.026,11.357,0.139,9.275,,17,0.014,15.916,0.009,16.292,0.021,16.732,0.052,,,,20.34999939,18.32599908
PSO J071.4708+36.4930,71.4707,36.4934,L6:,16,,,16.6,-135,136.0167637,,,,,,,,,16.829,0.186,15.776,0.151,15.026,0.151,,,,,,,,0.04,18.96,0.03,14.243,0.029,13.776,0.039,11.82,,8.604,,17.842,0.062,16.72,0.032,15.787,0.022,14.978,0.06,,,,19.39000031,18.32599908
2MASS J14140586+0107102,213.5244,1.1195,L4,14,,,-321.3,-129,346.2292449,,,,,,,,,16.741,0.202,15.735,0.202,15.252,0.202,,,,,,,0.17,0.06,18.95,0.06,14.66,0.028,14.446,0.05,12.464,,8.891,,18.119,0.04,16.791,0.024,15.958,0.017,15.205,0.014,,,21.35999954,19.36999985,18.31600076
SDSS J204749.61-071818.3,311.9567,-7.305,T0:,20,30,6,9,-228.4,228.5772517,,,,,,,,,16.946,0.195,15.909,0.198,14.99,,,,,,,,,0.02,18.95,0.04,14.434,0.029,14.005,0.039,12.341,,8.906,,17.784,0.059,16.7,0.03,15.88,0.03,15.34,0.03,,,,19.60999962,18.31600076
SIMP J21483578+2239427,327.1492,22.6617,T1:,21,28.9,2.3,,,,,,,,,,,,,,,,,,,,,,,,,0.04,18.95,0.02,,,,,,,,,,,16.64,0.02,,,,,,,,19.73000046,18.31600076
SDSS J021248.51+221822.0,33.202,22.3061,,10,,,83.3,-11.5,84.09007076,,,,,,,,,,,,,,,,,,,,,0.08,0.01,18.94,0.03,15.393,0.043,15.198,0.109,12.196,,8.809,,,,,,,,,,,,21.10999954,19.34999939,18.30600053
WISE J033651.90+282628.8,54.216,28.4421,T5,25,34,4,104.7,-212.2,236.6240267,,,,,,,,,16.543,0.122,16.528,0.235,15.771,0.235,,,,,,,,0.05,18.94,0.02,15.86,0.058,14.329,0.052,11.742,,8.786,,17.476,0.019,16.244,0.012,16.282,0.03,16.4,0.037,,,,20.19999977,18.30600053
PSO J088.5709-00.1430,88.5709,-0.1426,T4.5,24.5,31.3,2.9,,,,,,,,,,,,16.265,0.081,15.842,0.214,15.459,0.214,,,,,,,,0.05,18.94,0.01,15.591,0.048,14.277,0.047,12.506,,8.828,,17.283,0.054,16.08,0.02,16.057,0.054,15.988,0.054,,,,19.91999908,18.30600053
PSO J159.2399-26.3885,159.24,-26.3886,T1.5,21.5,63,12,-19.5,5.9,20.37302138,,,,,,,,,16.811,0.173,16.006,0.175,15.302,0.175,,,,,,,0.07,0.04,18.94,0.06,14.718,0.031,14.002,0.038,12.591,,8.539,,17.773,0.066,16.61,0.02,16.029,0.033,15.512,0.028,,,22.28999985,19.82000061,18.30600053
WISE J122558.86-101345.0,186.4959,-10.2283,T6,26,24.3,1.7,-172.3,-341.8,382.7721646,,,,,,,,,,,,,,,,,,,,,,0.04,18.94,0.03,16.197,0.065,13.993,0.042,12.285,0.408,9.002,,17.329,0.017,16.12,0.009,16.487,0.027,16.488,0.056,,,,20.09999939,18.30600053
SDSS J162255.27+115924.1,245.7304,11.99,L6:,16,,,-118.7,-6.6,118.8833462,,,,,,,,,16.879,0.178,16.149,0.199,15.548,0.199,,,,,,,0.14,0.03,18.94,0.02,14.757,0.032,14.557,0.052,12.437,,8.414,,17.906,0.192,16.796,0.178,16.238,0.199,15.533,0.199,,,21.38,19.32000061,18.30600053
2MASS J16360752+2336011,249.0314,23.6003,L1,11,,,-90.3,24.5,93.56463007,,,,,,,,,17,0.07,16.16,0.06,15.65,0.06,,,,,,0.13,0.04,0.03,18.94,0.02,14.947,0.032,14.686,0.053,12.653,0.481,9.191,,,,16.86,0.03,16.21,0.03,15.61,0.03,,22.66999992,20.97000015,19.22000023,18.30600053
PSO J354.3709+57.7939,354.3708,57.7944,T2.5,22.5,38,7,,,,,,,,,,,,,,,,,,,,,,,,,0.06,18.94,0.03,14.799,0.033,14.038,0.041,12.533,,9.011,,,,16.4,0.02,,,,,,,,19.88000008,18.30600053
WISEPC J234026.62-074507.2,355.1105,-7.7516,T7,27,20.8,1.3,178.6,-279.2,331.4371735,,,,,,,,,,,,,,,,,,,,,,0.11,18.94,0.04,15.934,0.058,13.6,0.036,11.921,,8.925,,17.203,0.057,16.076,0.027,16.405,0.035,16.508,0.058,,,,20.15000053,18.30600053
2MASS J0249-0557 c,42.4766,-5.9671,L2 VL-G,12,66.2,0.4,,,,,,,,,,,,16.545,0.114,15.484,0.132,14.881,0.124,,,,,,,0.05,0.03,18.93,0.03,14.125,0.034,13.588,0.036,12.516,0.357,9.053,,,,16.64,0.06,15.61,0.06,14.78,0.03,,,21.03999985,19.38000008,18.29600031
CFHT-IC 348-12,56.0786,32.3258,,8.2,,,-1.9,5.4,5.724508713,,,,,,,,,16.83,0.059,15.809,0.076,15.356,0.058,,,,,,,0.1,0.02,18.93,0.03,,,,,,,,,17.733,0.028,16.755,0.018,16.243,0.02,15.353,0.013,,,21.02999962,19.38000008,18.29600031
SDSS J080959.01+443422.2,122.4948,44.5719,L5.4 INT-G,15.4,23.8,2.3,-170.6,-214,273.6793014,,,,,,,,,16.437,0.114,15.184,0.059,14.417,0.059,,,,,,,,0.03,18.93,0.05,13.363,0.025,12.82,0.027,11.646,0.201,8.855,,17.689,0.055,16.42,0.02,15.34,0.054,14.392,0.054,,,,19.34999939,18.29600031
SDSS J100711.74+193056.2,151.7994,19.5155,L8:,18,21.9,1,-255.2,-18.4,255.8624631,,,,,,,,,16.871,0.157,15.755,0.101,14.997,0.101,,,,,,,,0.02,18.93,0.03,14.131,0.027,13.514,0.036,11.973,0.336,8.827,,17.781,0.057,16.7,0.02,15.883,0.055,15.238,0.055,,,,19.50999924,18.29600031
2MASS J11191046+0552484,169.7936,5.8801,L4,14,,,-127.9,-2.2,127.9189196,,,,,,,,,16.762,0.158,15.479,0.154,15.034,0.154,,,,,,,0.02,0.02,18.93,0.05,14.169,0.028,13.791,0.037,12.099,,8.352,,18.071,0.02,16.621,0.01,15.663,0.014,14.86,0.013,,,21.18999947,19.41000076,18.29600031
USco J160737.99-224247.0,241.9083,-22.7131,L0,10,,,-15.1,-22.3,26.93139432,,,,,,,,,16.947,0.179,15.867,0.264,15.838,0.264,,,,,,,,0.02,18.93,0.03,15.098,0.039,14.743,0.075,12.375,,9.098,,17.875,0.008,16.781,0.007,16.091,0.02,15.45,0.019,,,,19.44999977,18.29600031
WISE J032547.72+083118.2,51.4485,8.5218,T7,27,12.7,0.5,132.9,-46.2,140.7012793,,,,,,,,,16.54,0.07,16.15,0.08,,,,,,,,,,0.04,18.92,0.03,15.35,0.043,13.534,0.034,11.882,0.336,8.688,,17.136,0.086,16.286,0.07,16.193,0.08,16.386,0.087,,,,20.23000046,18.28600008
PSO J069.7303+04.3834,69.7299,4.3834,T2,22,27,4,,,,,,,,,,,,16.436,0.133,15.812,0.135,14.9,0.135,,,,,,,,0.05,18.92,0.03,14.258,0.027,13.596,0.034,12.139,0.329,9.066,,,,16.39,0.02,,,,,,,,19.66999908,18.28600008
SDSS J103321.92+400549.5,158.3412,40.0973,L6,16,,,152.1,-224.8,271.4211672,,,,,,,,,,,,,,,,,,,,,0.02,0.02,18.92,0.02,14.88,0.032,14.663,0.058,12.166,,9.072,,17.813,0.174,16.56,0.162,15.839,0.172,15.291,0.172,,,21.59999931,19.42999931,18.28600008
PSO J260.3363+46.6739,260.3361,46.6747,L9,19,,,51.8,-275.1,279.9343673,,,,,,,,,16.859,0.147,15.826,0.134,15.234,0.134,,,,,,,,0.03,18.92,0.03,14.449,0.028,13.894,0.03,12.337,,9.496,0.497,17.864,0.058,16.792,0.024,15.842,0.019,15.238,0.056,,,,19.46,18.28600008
WISE J200804.71-083428.5,302.0188,-8.5742,T5.5,25.5,18.5,1.4,281.1,-167.2,327.0673478,,,,,,,,,,,,,,,,,,,,,,0.06,18.92,0.04,15.998,0.064,14.215,0.048,12.55,,8.577,,17.16,0.054,16.03,0.02,16.309,0.054,16.362,0.055,,,,20.16000076,18.28600008
PSO J331.6058+33.0207,331.6053,33.0207,T1.5,21.5,,,171.7,10.4,172.0146796,,,,,,,,,,,,,,,,,,,,,,0.06,18.92,0.01,15.289,0.037,14.485,0.049,12.453,,9.104,,17.827,0.033,16.66,0.028,16.076,0.032,15.75,0.059,,,,19.83999916,18.28600008
ULAS J230424.80+130111.3,346.1035,13.0201,L5,15,,,-72,-126,145.1206395,,,,,,,,,16.739,0.144,15.89,0.152,14.985,0.152,,,,,,,0.06,0.02,18.92,0.02,,,,,,,,,18.002,0.023,16.692,0.012,15.926,0.021,15.203,0.015,,,21.08999908,19.43999954,18.28600008
WISE J235716.49+122741.8,359.3187,12.4615,T6,26,16.7,1.1,40.4,-495.4,497.0445855,,,,,,,,,,,,,,,,,,,,,,0.1,18.92,0.02,15.742,0.048,14.018,0.04,12.101,0.369,8.941,,17.345,0.017,16.1,0.01,16.492,0.026,16.518,0.04,,,,20.00999924,18.28600008
WISE J004024.88+090054.8,10.1039,9.0152,T7,27,14.3,0.3,-39.9,-21.9,45.51505246,,,,,,,,,,,,,,,,,,,,,,0.08,18.91,0.04,15.985,0.065,13.826,0.049,11.819,,8.557,,17.154,0.019,16.131,0.011,16.562,0.023,16.554,0.052,,,,20.31000038,18.27599985
SDSS J011816.78+141841.4,19.57,14.3115,,11,,,-21.5,0.1,21.50023256,,,,,,,,,,,,,,,,,,,,,0.06,0.02,18.91,0.03,15.449,0.044,15.248,0.096,12.484,,8.154,,18.037,0.036,16.975,0.025,16.285,0.022,15.661,0.022,,,21.00000084,19.31000038,18.27599985
PSO J160.0416-21.3281,160.0423,-21.3279,T2 pec,22,30,5,-238.4,-50.3,243.6486199,,,,,,,,,16.576,0.125,16.058,0.176,15.471,0.176,,,,,,,,0.03,18.91,0.04,14.987,0.034,14.182,0.043,12.568,,9.038,,17.643,0.055,16.49,0.022,16.015,0.026,15.51,0.055,,,,19.66999908,18.27599985
SDSSp J224953.45+004404.2,342.4727,0.7346,L3: INT-G,14,44.92,0.12,95,-7.2,95.27245142,,,,,,,,,16.587,0.125,15.421,0.071,14.358,0.071,,,,,,,0.05,0.03,18.91,0.03,13.606,0.026,13.117,0.032,11.437,,8.363,,17.852,0.029,16.466,0.014,15.337,0.009,14.414,0.007,,,21.17999924,19.31000038,18.27599985
PSO J004.1834+23.0741,4.182,23.0739,T0,20,26.3,2.1,399.3,34.4,400.7790538,,,,,,,,,,,,,,,,,,,,,,0.06,18.9,0.03,14.325,0.029,13.667,0.035,11.942,0.277,9.027,,17.605,0.055,16.5,0.02,15.72,0.023,15.187,0.054,,,,19.83000084,18.26599962
PSO J085.1080-18.0445,85.1085,-18.0443,T5,25,16.9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,0.05,18.9,0.05,15.808,0.048,14.299,0.045,12.358,0.404,8.512,,,,15.99,0.02,,,,,,,,20.11999985,18.26599962
SDSS J125011.65+392553.9,192.5488,39.4321,T4,24,23.3,1.6,-34.2,-832.9,833.6018534,,,,,,,,,16.54,0.112,16.183,0.247,16.057,0.247,,,,,,,,0.1,18.9,0.03,15.915,0.049,14.597,0.051,12.455,,9.123,,,,16.14,0.02,,,16.18,0.25,,,,20.01999947,18.26599962
2MASS J15423630-0045452,235.651,-0.7628,L7,17,,,-542,-122.4,555.6489539,,,,,,,,,16.712,0.132,15.98,0.203,15.414,0.203,,,,,,,0.03,0.02,18.9,0.01,15.091,0.039,14.973,0.073,12.077,0.364,8.983,,18.069,0.025,16.82,0.017,16.201,0.021,15.638,0.022,,,21.27999962,19.34999939,18.26599962
2MASS J17161258+4125143,259.0525,41.4206,L4,14,,,32.4,0.6,32.40555508,,,,,,,,,16.82,0.09,15.83,0.09,15.16,0.08,,,,,,,0.03,0.04,18.9,0.02,14.564,0.028,14.224,0.037,13.094,,9.066,,,,,,,,,,,,21.08000076,19.34999939,18.26599962
SDSS J033726.70-002259.3,54.3613,-0.3831,,10,,,6.2,-7,9.350935782,,,,,,,,,,,,,,,,,,,,,0.06,0.02,18.89,0.02,15.921,0.058,15.648,0.142,12.513,,8.859,,18.035,0.029,17.152,0.021,16.529,0.025,15.991,0.029,,,20.94999969,19.22000023,18.25599939
WISE J173421.02+502349.9,263.5883,50.3966,T4,24,25,2.5,-23.1,288.7,289.6226856,,,,,,,,,,,,,,,,,,,,,,0.04,18.89,0.02,15.381,0.031,14.298,0.033,12.859,,9.635,,17.36,0.054,16.11,0.02,16.066,0.054,16.038,0.054,,,,19.99000069,18.25599939
2MASS J21513979+3402444,327.9159,34.0457,L7 pec (sl. blue),17,,,108.1,-112.7,156.1630558,,,,,,,,,16.704,0.149,15.796,0.113,14.983,0.113,,,,,,,0.1,0.02,18.89,0.03,14.281,0.029,13.934,0.038,12.643,0.445,8.576,,17.861,0.159,16.638,0.149,15.874,0.113,14.967,0.113,,,21.53999985,19.36999985,18.25599939
PSO J337.4317+16.4213,337.4316,16.4213,M9,9,,,31,-4.7,31.35426606,,,,,,,,,,,,,,,,,,,,,0.04,0.02,18.89,0.04,15.621,0.043,15.139,0.076,12.57,,9.062,,18.034,0.037,17.02,0.031,16.462,0.046,15.854,0.059,,,21.06000031,19.38000008,18.25599939
2MASSW J2244316+204343,341.1322,20.7285,L6: VL-G,16.5,17.04,0.29,231.1,-235.7,330.0934716,,,,,,,,,16.476,0.14,14.999,0.073,14.022,0.073,,,,,,,,0.04,18.89,0.05,12.79,0.022,12.13,0.023,11.225,0.141,9.097,,17.53,0.05,16.33,0.03,15.06,0.03,13.9,0.03,,,,19.28999992,18.25599939
2MASS J13081228+6103486,197.0512,61.0635,L2,12,,,-40.6,9.3,41.65153058,,,,,,,,,,,,,,,,,,,,,0.04,0.06,18.88,0.02,14.965,0.03,14.658,0.043,13.142,,9.148,,17.803,0.154,16.616,0.146,15.862,0.154,15.173,0.154,,,21.00000084,19.35999962,18.24599916
ULAS J151355.05-013300.6,228.4794,-1.5501,L1,11,,,-21.2,-30.7,37.3085781,,,,,,,,,,,,,,,,,,,,,0.04,0.01,18.88,0.02,15.158,0.035,14.977,0.09,12.409,,8.99,,17.899,0.03,16.758,0.018,16.072,0.018,15.47,0.019,,,21.08999908,19.32000061,18.24599916
2MASS J00135882-1816462,3.4953,-18.2797,L5 pec,11,56.43,0.19,-41.3,-175.8,180.5860737,,,,,,,,,16.537,0.139,15.892,0.131,15.04,0.131,,,,,,,0.03,0.05,18.87,0.01,14.549,0.03,14.138,0.045,11.999,,8.439,,17.692,0.148,16.455,0.139,15.967,0.131,15.025,0.131,,,21.09999931,19.41000076,18.23600084
PSO J147.5092-27.6337,147.5092,-27.6336,L0.5,10.5,,,-15.6,-21.6,26.64432397,,,,,,,,,16.885,0.182,16.224,0.194,15.455,0.194,,,,,,,0.03,0.06,18.87,0.03,15.36,0.039,15.072,0.07,12.157,,8.818,,17.88,0.189,16.84,0.182,16.288,0.194,15.431,0.194,,,20.88,19.30000015,18.23600084
SDSSp J111010.01+011613.1,167.5417,1.2702,T5.5,25.5,19.2,0.4,-231.8,-276.8,361.0394438,,,,,,,,,16.343,0.115,15.924,0.144,15.93,0.05,,,,,,,,0.06,18.87,0.02,15.437,0.043,13.923,0.04,12,0.294,9.117,,17.338,0.012,16.161,0.008,16.197,0.021,16.051,0.032,,,,20.10999962,18.23600084
PSO J246.1033-19.6194,246.1029,-19.6191,T2,22,22.7,1.5,,,,,,,,,,,,,,,,,,,,,,,,,0.04,18.87,0.09,14.918,0.038,13.96,0.044,11.217,0.201,8.229,,,,16.35,0.02,15.868,0.017,15.824,0.024,,,,20.00999924,18.23600084
PSO J334.8034+11.2278,334.8035,11.228,L5,15,,,-21.5,-78.5,81.39103145,,,,,,,,,16.739,0.124,15.28,0.1,14.819,0.1,,,,,,,0.03,0.02,18.87,0.02,14.1,0.027,13.662,0.034,12.114,,8.928,,17.883,0.04,16.585,0.024,15.612,0.021,14.896,0.056,,,21.38,19.32000061,18.23600084
SDSS J075515.26+293445.4,118.8136,29.5792,L3.5:,13.5,,,-108.4,-29.5,112.3423785,,,,,,,,,17.229,0.194,16.231,0.198,15.638,0.198,,,,,,,0.07,0.05,18.86,0.03,15.129,0.036,14.935,0.086,12.079,,8.782,,18.018,0.025,16.813,0.015,16.09,0.017,15.409,0.015,,,20.82000053,19.25999924,18.22600061
PSO J004.6359+56.8370,4.6357,56.8369,T4.5,24.5,21.3,1.8,,,,,,,,,,,,,,,,,,,,,,,,,0.1,18.85,0.03,,,,,,,,,,,16.22,0.02,,,,,,,,20.01999947,18.21600038
WISEA J010202.11+035541.4,15.5077,3.928,L9,19,24.9,1.7,370.4,76.3,378.1770088,,,,,,,,,16.74,0.131,15.659,0.123,15.081,0.123,,,,,,,,0.03,18.85,0.04,14.224,0.029,13.646,0.037,11.746,,8.762,,17.817,0.027,16.665,0.017,15.753,0.012,15.066,0.012,,,,19.47000023,18.21600038
2MASSW J1553214+210907,238.3392,21.1521,L6.6:,15.5,,,-54.7,89.5,104.8920397,,,,,,,,,16.703,0.163,15.337,0.114,14.678,0.114,,,,,,,,0.04,18.85,0.03,13.798,0.025,13.3,0.029,12.245,0.319,8.97,,17.963,0.171,16.627,0.163,15.43,0.114,14.652,0.114,,,,19.41999908,18.21600038
SDSS J035104.37+481046.8,57.7676,48.1799,T1:,21,34,5,290.7,-197.5,351.4437935,,,,,,,,,16.466,0.13,15.566,0.121,14.996,0.121,,,,,,,,0.02,18.84,0.03,14.543,0.031,13.92,0.035,12.366,0.439,8.548,,17.651,0.021,16.443,0.015,15.841,0.013,15.225,0.016,,,,19.41000076,18.20600015
2MASSW J0030300-145033,7.6256,-14.8427,L6: FLD-G,17,27,4,255.5,-31.8,257.4713382,,,,,,,,,16.278,0.111,15.273,0.1,14.481,0.1,,,,,,,0.17,0.03,18.83,0.02,13.682,0.026,13.326,0.032,12.013,,8.906,,17.61,0.06,16.39,0.03,15.37,0.03,14.49,0.03,,,21.30000008,19.23000046,18.19599992
SDSS J083048.80+012831.1,127.7034,1.4754,T4.5,24.5,23.3,2.7,202.4,-345.7,400.5923739,,,,,,,,,,,,,,,,,,,,,,0.06,18.83,0.04,15.663,0.045,14.134,0.044,11.888,,8.204,,17.203,0.013,16.049,0.009,16.253,0.024,16.35,0.035,,,,20.23000046,18.19599992
WISEA J090258.99+670833.1,135.7469,67.1431,L7 (sl. red),17,,,,,,,,,,,,,,16.979,0.246,15.089,0.106,14.247,0.108,,,,,,,0.1,0.03,18.83,0.01,13.2,0.025,12.695,0.026,11.996,0.319,8.863,,18.381,0.251,,,15.147,0.106,14.305,0.108,,,21.16000069,19.40000053,18.19599992
SDSS J163030.53+434404.0,247.6273,43.7343,L7:,17,22.4,1.3,-132.3,39.8,138.1569036,,,,,,,,,16.634,0.138,15.438,0.087,14.652,0.087,,,,,,,,0.02,18.83,0.02,13.832,0.024,13.226,0.025,12.184,0.276,9.368,,17.656,0.054,16.53,0.02,15.564,0.054,14.767,0.054,,,,19.41000076,18.19599992
2MASS J16322360+2839567,248.0984,28.6657,L1,11,,,-2.8,-98.4,98.43982934,,,,,,,,,17.3,0.12,16.5,0.1,16,0.1,,,,,,,0.02,0.02,18.83,0.02,15.161,0.033,14.889,0.051,12.748,,8.39,,17.961,0.027,16.857,0.016,16.14,0.017,15.612,0.017,,,20.92000092,19.24000069,18.19599992
PSO J353.6355+13.2209,353.6354,13.2209,L8:,18,43,11,38.4,-14.2,40.94142157,,,,,,,,,16.651,,15.782,0.097,14.762,0.097,,,,,,,0.05,0.04,18.83,0.02,13.803,0.027,13.282,0.03,12.365,0.513,8.994,,17.862,0.023,16.595,0.013,15.578,0.011,14.661,0.008,,,21.74000061,19.24000069,18.19599992
SDSSp J003259.36+141036.6,8.2473,14.1769,L9,19,33,6,290.1,15.6,290.5191388,,,,,,,,,16.83,0.169,15.648,0.109,14.946,0.109,,,,,,,,0.04,18.82,0.04,14.286,0.029,13.729,0.039,11.689,,8.477,,17.83,0.027,16.645,0.016,15.689,0.011,15.002,0.013,,,,19.50000092,18.18599969
WISEA J030119.39-231921.1,45.33,-23.3223,T1 (sl. blue),21,27,2.9,,,,,,,,,,,,16.635,0.144,15.8,0.234,15.579,0.234,,,,,,,,0.05,18.82,0.02,14.829,0.03,14.036,0.036,12.96,0.533,9.046,,17.723,0.055,16.63,0.02,15.888,0.054,15.421,0.054,,,,19.59999939,18.18599969
PSO J052.2746+13.3754,52.2736,13.3755,T3.5,23.5,22.7,1.5,,,,,,,,,,,,16.479,0.108,15.837,0.275,15.606,0.275,,,,,,,,0.05,18.82,0.04,15.296,0.042,14.255,0.051,12.427,,8.971,,17.339,0.055,16.23,0.02,15.932,0.054,15.735,0.055,,,,19.97000023,18.18599969
SDSS J093824.88+290328.9,144.6037,29.0582,,10,,,12.7,-81.9,82.87882721,,,,,,,,,16.835,0.19,15.842,0.204,15.53,0.204,,,,,,,0.03,0.03,18.82,0.02,15.174,0.039,14.923,0.073,12.633,,8.998,,,,,,,,,,,,20.92000092,19.27999969,18.18599969
SDSSp J131415.52-000848.1,198.5647,-0.1467,L3.5:,13.5,,,3.3,79.2,79.26872019,,,,,,,,,16.62,0.142,16.168,0.162,15.295,0.162,,,,,,,0.05,0.02,18.82,0.01,14.828,0.034,14.537,0.055,12.208,,8.767,,17.916,0.028,16.667,0.016,15.914,0.016,15.345,0.015,,,21.15000046,19.36999985,18.18599969
SDSS J151506.11+443648.3,228.7753,44.6134,L7.5:,17.5,36,5,101.4,-12.7,102.1922208,,,,,,,,,16.583,0.152,15.636,0.137,14.757,0.137,,,,,,,,0.04,18.82,0.04,13.988,0.025,13.521,0.027,12.497,0.267,9.565,,17.852,0.055,16.61,0.02,15.587,0.054,14.752,0.054,,,,19.26999947,18.18599969
SDSS J175805.46+463311.9,269.5227,46.5531,T6.5,26.5,13.99,0.008,-2.5,579.4,579.4053935,,,,,,,,,16.152,0.088,16.254,0.191,15.465,0.191,,,,,,,,0.07,18.82,0.03,15.648,0.034,13.802,0.029,12.351,0.289,9.237,,16.91,0.06,15.86,0.03,16.2,0.03,16.12,0.03,,,,20.16000076,18.18599969
PSO J276.8234+22.4380,276.8232,22.438,L9,19,40,5,63.2,5.1,63.40544141,,,,,,,,,16.905,0.174,15.576,0.082,14.874,0.082,,,,,,,0.16,0.05,18.82,0.03,14.004,0.031,13.383,0.031,12.383,0.439,8.847,,17.703,0.056,16.53,0.02,15.617,0.019,14.861,0.054,,,22.05000008,19.36999985,18.18599969
2MASSW J0129122+351758,22.3011,35.2995,L3.0 FLD-G,14,,,173.3,-56.3,182.2157512,,,,,,,,,16.779,0.159,15.343,0.08,14.696,0.08,,,,,,,0.05,0.03,18.81,0.03,14.052,0.026,13.724,0.034,12.49,0.367,9.178,,18.055,0.167,16.718,0.159,15.429,0.08,14.676,0.08,,,20.90000046,19.28999992,18.17599947
2MASS J06143818+3950357,93.6591,39.8432,L9:,19,22.7,1.3,-28.4,-263.6,265.1254797,,,,,,,,,16.588,0.135,15.595,0.117,15.02,0.117,,,,,,,,0.01,18.81,0.01,14.25,0.029,13.633,0.035,11.865,,8.891,,17.631,0.055,16.54,0.02,15.667,0.054,15.044,0.054,,,,19.28999992,18.17599947
PSO J291.2688+68.5310,291.2722,68.5311,T1,21,,,-250.8,-82.9,264.1458877,,,,,,,,,16.613,0.155,16.107,0.229,15.486,0.229,,,,,,,,0.02,18.8,0.04,15.058,0.028,14.434,0.035,13.264,0.424,9.488,,17.575,0.163,16.516,0.155,,,15.52,0.229,,,,19.56000038,18.16599924
2MASS J21542494-1023022,328.6038,-10.3841,T4.5,24.5,27,2.9,238,34.2,240.4446714,,,,,,,,,,,,,,,,,,,,,,0.09,18.8,0.04,15.635,0.048,14.438,0.066,11.767,,9.061,,17.405,0.126,16.237,0.116,16.211,0.126,16.144,0.127,,,,19.97000023,18.16599924
SIMP J21543454-1055308,328.644,-10.9253,L4 INT-G,14,30.7,0.9,174.2,1.8,174.2092994,,,,,,,,,16.44,0.121,15.069,0.069,14.199,0.069,,,,,,,0.06,0.04,18.8,0.02,13.358,0.025,12.912,0.031,12.541,0.53,9.049,,17.735,0.131,16.344,0.121,15.14,0.069,14.159,0.069,,,21.07000053,19.33000084,18.16599924
WISEA J000622.67-131955.2,1.5953,-13.3308,L5 pec,15,,,-238.4,-440.6,500.9619946,,,,,,,,,16.674,0.126,15.548,0.127,15.115,0.127,,,,,,,,0.02,18.79,0.13,14.239,0.027,13.754,0.042,12.261,,9.049,,17.643,0.136,16.589,0.126,15.63,0.127,15.108,0.127,,,,19.15000053,18.15600092
2MASS J14232186+6154005,215.8408,61.9001,L4,14,,,-166.5,49.8,173.7880606,,,,,,,,,16.63,0.15,15.961,0.15,15.279,0.134,,,,,,,0.06,0.01,18.79,0.04,14.147,0.026,13.96,0.032,12.421,,9.433,,17.814,0.158,16.564,0.15,16.029,0.15,15.256,0.134,,,21.03999985,19.33000084,18.15600092
SDSS J032553.17+042540.1,51.4718,4.4279,T5.5,25.5,22.7,1.5,-170.6,-77,187.1720065,,,,,,,,,,,,,,,,,,,,,,0.04,18.78,0.03,15.894,0.053,13.81,0.037,11.777,,8.966,,17.168,0.014,15.996,0.009,16.258,0.018,16.523,0.043,,,,20.17999931,18.14600069
SDSS J093109.56+032732.5,142.7897,3.4592,L7.5:,17.5,,,-635.8,-108.3,644.9577738,,,,,,,,,,,,,,,,,,,,,,0.03,18.78,0.04,14.976,0.034,14.829,0.071,12.329,,9.074,,,,16.683,0.012,16.137,0.021,15.586,0.016,,,,19.34999939,18.14600069
SDSS J121440.95+631643.4,183.6706,63.2787,T3.5:,23.5,,,136.9,9.2,137.2087825,,,,,,,,,16.586,0.12,15.779,0.233,15.877,0.233,,,,,,,,0.05,18.78,0.03,14.928,0.031,13.744,0.031,12.254,0.265,9.345,,17.498,0.13,16.389,0.12,,,15.937,0.233,,,,19.88000008,18.14600069
ULAS J154038.87-001256.7,235.1615,-0.216,L4:,14,,,156,55.3,165.5116008,,,,,,,,,16.799,0.15,15.669,0.138,15.047,0.138,,,,,,,0.16,0.05,18.78,0.02,14.471,0.03,14.157,0.046,12.531,,8.587,,17.838,0.022,16.625,0.015,15.814,0.01,15.175,0.011,,,21.22000015,19.24000069,18.14600069
