NAME,RA,DECL,LIT_SPT_NUM,LIT_SPT_NUM,LIT_METAL_NUM,CAT_PMRA,CAT_PMDEC,CAT_PMRA_E,CAT_PMDEC_E,CAT_PMTOT,CAT_PMTOT_E,WISE_W1,WISE_W1e,WISE_W2,WISE_W2e,GAIA_G,GAIA_B,GAIA_R,GAIA_Ge,GAIA_Be,GAIA_Re,MKO_J,MKO_Je,MKO_H,MKO_He,MKO_K,MKO_Ke,PANSTARRS_G,PANSTARRS_Ge,PANSTARRS_R,PANSTARRS_Re,PANSTARRS_I,PANSTARRS_Ie,PANSTARRS_Z,PANSTARRS_Ze,PANSTARRS_Y,PANSTARRS_Ye
LSPM J2036+5100,309.0955509,51.00713501,7.5,7.5,-1,0.80903,1.22,0.0031,0.003,1.46387483785329,0.00303089367147733,13.346,0.029,13.113,0.025,16.850402,19.0757605,15.509627,0.04619209206,0.2191670814,0.06458193468,,,,,,,19.63679,0.07809631,,,,,15.194000000000000,0.0048,14.2295,0.0379
LHS 377,219.751207,18.65509354,7.0,7,-1,-0.02606,-1.34774,0.0023,0.0024,1.3479919254951,0.00239996340395332,13.36,0.108,13.158,0.108,16.444299,18.6409862,15.101278,0.04418064583,0.236104474,0.06876675773,13.17560196,0.002255139872,,,,,,,17.515625,0.005058,15.700300000000000,0.0027,14.679688000000000,0.001776,13.849,0.0041
2MASS J08503941-0221528,132.6622771,-2.365453128,17.0,17,-1,-0.42873,-0.143,0.0056,0.0059,0.451949568978664,0.00563075404889624,13.435,0.013,13.143,0.011,20.6045253,21.07033907,19.0044503,0.120902478,0.6380592292,0.2980458022,15.3292,0.0146,14.504,0.04,14.1,0.058,25.668000000000000,0.502,21.903,0.1088,20.454900000000000,0.0268,18.015625,0.007084,16.8512,0.0134
LSPM J0723+0316,110.9288888,3.270846642,7.5,7.5,-1,-0.11427,-0.40239,0.0065,0.0067,0.418300543867684,0.00668528148432962,13.667,0.016,13.441,0.013,17.772917,19.9474725,16.443371,0.05831372567,0.4077426765,0.1420335289,14.48928833,0.004050195683,14.12,0.04,13.878,0.043,20.503800000000000,0.0351,18.828125,0.005554,17.0315,0.0032,16.1576,0.0026,15.1819,0.0044
SDSS J145255.58+272324.4,223.2308955,27.38919374,11.0,11,-1,-0.19916,-0.26605,0.0053,0.0059,0.332336137216524,0.00569180645917223,13.67,0.016,13.412,0.013,19.5433261,21.6539124,18.0063937,0.08010250971,0.5377002224,0.1638958303,14.82231903,0.005723286886,14.356,0.042,14.083,0.061,24.094,0.404,21.409805,0.033072,19.1523,0.0239,17.1272,0.001917,,
WISEA J004326.26+222124.0,10.85967238,22.35581952,11.0,11,-1,0.17408,-0.4223,0.0067,0.0063,0.456772521502772,0.00635965943519604,13.684,0.015,13.44,0.012,19.0669337,21.28406349,17.5577196,0.07280629126,0.5870447758,0.14808853,14.7469635,0.004618777893,14.226,0.039,13.931,0.063,23.013618,0.092065,21.146355,0.02697,18.5399,0.0151,16.81279,0.002611,15.755,0.0129
2MASS J14343616+2202463,218.646953,22.04687754,9.0,9,-1,-0.79086,0.16205,0.0074,0.0048,0.807291609085589,0.00731313090975659,13.718,0.025,13.402,0.023,19.1745088,21.69559234,17.5890066,0.0912165111,0.6127214734,0.1350906087,14.4294796,0.003989030141,,,,,23.5625,0.180054,21.171875,0.044861,18.8194,0.0099,16.703125,0.003714,15.5948,0.0217
2MASS J20402401+6959057,310.121148,69.9927746,10.5,10.5,-2,1.56102,1.71,0.0047,0.004,2.31535816676384,0.00433222835723067,13.733,0.022,13.475,0.02,17.530507,20.95834295,16.036091,0.05819863527,0.4360212377,0.100895257,,,,,,,21.302400000000000,0.1589,19.819300000000000,0.0619,,,,,,
2MASS J14313097+1436539,217.8766336,14.61454079,11.0,11,-1,-0.45424,-0.0854,0.0054,0.0061,0.46219815836933,0.00542538702252908,13.753,0.013,13.49,0.012,19.9375018,21.6769033,18.4187009,0.1022816755,0.7051422501,0.274996889,15.08714199,0.00576059334,14.501,0.047,14.125,0.062,,,21.8125,0.075195,19.599800000000000,0.0201,17.515625,0.004642,16.3821,0.0059
2MASS J17561080+2815238,269.0417111,28.25455181,11.0,11,-1,-0.62471,-0.43884,0.0044,0.0047,0.76344163476981,0.00450133702111681,13.756,0.027,13.509,0.024,19.3552062,21.2122228,17.8024294,0.07689624948,0.5466209273,0.1723499438,14.5997591,0.004311190918,,,,,,,21.275864,0.028511,19.0375,0.0029,16.945358,0.002092,15.8192,0.0147
